lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,FALSE,0.6005068644881248,0.698979592,0.46875
0.01,32,TRUE,0.6371894590556622,0.553571429,0.5
0.01,64,FALSE,0.5108403116464615,0.778061224,0.6875
0.01,64,TRUE,0.5554325059056282,0.515306122,0.59375
0.01,128,FALSE,0.5970296375453472,0.742346939,0.59375
0.01,128,TRUE,0.6394924074411392,0.706632653,0.46875
0.001,32,FALSE,0.6031480357050896,0.732142857,0.46875
0.001,32,TRUE,0.6075507067143917,0.612244898,0.46875
0.001,64,FALSE,0.5769745483994484,0.734693878,0.53125
0.001,64,TRUE,0.5638523288071156,0.632653061,0.59375
0.001,128,FALSE,0.5657557807862759,0.737244898,0.5625
0.001,128,TRUE,0.573378462,0.568877551,0.53125
0.0001,32,FALSE,0.5960659347474575,0.737244898,0.5
0.0001,32,TRUE,0.5677423216402531,0.647959184,0.53125
0.0001,64,FALSE,0.5681503899395466,0.729591837,0.53125
0.0001,64,TRUE,0.5918195955455303,0.586734694,0.5
0.0001,128,FALSE,0.5984110161662102,0.727040816,0.5
0.0001,128,TRUE,0.5994780883193016,0.589285714,0.46875
