lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,FALSE,0.5227263420820236,0.74744898,0.40625
0.01,32,TRUE,0.5119668021798134,0.762755102,0.53125
0.01,64,FALSE,0.514700361,0.772959184,0.5625
0.01,64,TRUE,0.5181244350969791,0.772959184,0.53125
0.01,128,FALSE,0.5156578086316586,0.770408163,0.53125
0.01,128,TRUE,0.5155005976557732,0.780612245,0.5625
0.001,32,FALSE,0.5023247823119164,0.757653061,0.40625
0.001,32,TRUE,0.5025492198765278,0.739795918,0.5
0.001,64,FALSE,0.498177458,0.767857143,0.46875
0.001,64,TRUE,0.4988361485302448,0.729591837,0.40625
0.001,128,FALSE,0.49643587693572044,0.765306122,0.4375
0.001,128,TRUE,0.49679531902074814,0.75255102,0.5
0.0001,32,FALSE,0.5023528970777988,0.755102041,0.375
0.0001,32,TRUE,0.5016371570527554,0.719387755,0.46875
0.0001,64,FALSE,0.5002933219075203,0.755102041,0.375
0.0001,64,TRUE,0.4992024339735508,0.724489796,0.5
0.0001,128,FALSE,0.49699630588293076,0.760204082,0.40625
0.0001,128,TRUE,0.49766870588064194,0.716836735,0.5
