lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,False,0.5278395935893059,0.7678571428571429,0.34375
0.01,32,True,0.5069194063544273,0.3010204081632653,0.46875
0.01,64,False,0.5052586942911148,0.7729591836734694,0.375
0.01,64,True,0.5289678126573563,0.30357142857142855,0.59375
0.01,128,False,0.5499318540096283,0.7729591836734694,0.46875
0.01,128,True,0.6040975674986839,0.29081632653061223,0.3125
0.001,32,False,0.5068161636590958,0.7678571428571429,0.3125
0.001,32,True,0.5109056271612644,0.3086734693877551,0.5625
0.001,64,False,0.5138666778802872,0.7729591836734694,0.34375
0.001,64,True,0.5128684006631374,0.3010204081632653,0.5
0.001,128,False,0.5210229605436325,0.7755102040816326,0.375
0.001,128,True,0.5193437710404396,0.3010204081632653,0.5
0.0001,32,False,0.5098572596907616,0.7678571428571429,0.3125
0.0001,32,True,0.5071994364261627,0.30612244897959184,0.5625
0.0001,64,False,0.5046807192265987,0.7678571428571429,0.3125
0.0001,64,True,0.5011445097625256,0.42857142857142855,0.53125
0.0001,128,False,0.5044756643474102,0.7653061224489796,0.3125
0.0001,128,True,0.5043107718229294,0.33418367346938777,0.5625
